Metric,Mean,Std_Dev,Min,Max,Median
ROC_AUC,0.7421,0.0525,0.6559,0.8001,0.7573
PR_AUC,0.3579,0.0476,0.3016,0.4307,0.3707
NORMALIZED_PR_AUC,0.2174,0.0581,0.1487,0.306,0.2329
BOYCE_INDEX,0.8473,0.1658,0.5394,0.9758,0.9515
SENSITIVITY,0.8575,0.055,0.7795,0.9488,0.8425
ECE,0.1355,0.0156,0.1166,0.1638,0.1342
