fold,auc,pr_auc,tss,specificity,ece,threshold
1,0.7341610209874242,0.731664532853436,0.3804151905028279,0.5913978494623656,0.05373303788701109,0.5257497497738174
2,0.7068467211480964,0.7246123956291709,0.36574535468296676,0.5593869731800766,0.042197918932363424,0.5251535486566098
3,0.7231163851568952,0.6442894026492086,0.3760334022899663,0.5167958656330749,0.05413142960681576,0.3703876796447846
4,0.7550547666415129,0.562445774491733,0.3802702888111409,0.6310077519379845,0.04336213857990095,0.3136594587944241
5,0.7449256125214314,0.6886979664279302,0.3792299730577482,0.6124661246612466,0.03918025911162367,0.48200280641047577
