fold,roc_auc,pr_auc,boyce_index,sensitivity
1,0.7709151480386534,0.7838291720447632,0.9761904761904763,0.8526011560693642
2,0.7639442868417123,0.7651927469646019,0.9761904761904763,0.7283236994219653
3,0.7582196311189937,0.6332286331293805,0.9761904761904763,0.8709677419354839
4,0.7856262702235594,0.6447120813769502,0.9958246164193105,0.887905604719764
5,0.7772570657542829,0.7380591942138024,1.0,0.892128279883382
